Url,MalScore,FirstSubmission,LastSubmission,LastAnalysis,VT_Link
http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion,6,27/06/2022 8:04,19/09/2025 6:57,19/09/2025 6:57,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRhcHQyZDcza3JsYmV3Z3YyN3RxdWxqZ3hyMzN4Ynd3c3A2cmt5aWV0bzd1NG5jZWFkLm9uaW9u
http://lockbitsupa7e3b4pkn4mgkgojrl5iqgx24clbzc4xm7i6jeetsia3qd.onion,8,12/03/2022 13:22,18/08/2025 8:53,18/08/2025 8:53,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXBhN2UzYjRwa240bWdrZ29qcmw1aXFneDI0Y2xiemM0eG03aTZqZWV0c2lhM3FkLm9uaW9u
http://lockbit7z2og4jlsmdy7dzty3g42eu3gh2sx2b6ywtvhrjtss7li4fyd.onion,2,28/06/2022 23:36,10/09/2025 4:56,10/09/2025 4:56,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejJvZzRqbHNtZHk3ZHp0eTNnNDJldTNnaDJzeDJiNnl3dHZocmp0c3M3bGk0ZnlkLm9uaW9u
http://lockbitsupo7vv5vcl3jxpsdviopwvasljqcstym6efhh6oze7c6xjad.onion,7,28/06/2022 23:36,09/08/2025 11:19,09/08/2025 11:19,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXBvN3Z2NXZjbDNqeHBzZHZpb3B3dmFzbGpxY3N0eW02ZWZoaDZvemU3YzZ4amFkLm9uaW9u
http://lockbit7z3ddvg5vuez2vznt73ljqgwx5tnuqaa2ye7lns742yiv2zyd.onion,1,04/07/2022 8:50,20/08/2025 4:54,20/08/2025 4:54,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejNkZHZnNXZ1ZXoydnpudDczbGpxZ3d4NXRudXFhYTJ5ZTdsbnM3NDJ5aXYyenlkLm9uaW9u
http://lockbitapt72iw55njgnqpymggskg5yp75ry7rirtdg4m7i42artsbqd.onion,7,03/07/2022 20:26,18/08/2025 6:21,18/08/2025 6:21,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRhcHQ3Mml3NTVuamducXB5bWdnc2tnNXlwNzVyeTdyaXJ0ZGc0bTdpNDJhcnRzYnFkLm9uaW9u
http://lockbit7z5ltrhzv46lsg447o3cx2637dloc3qt4ugd3gr2xdkkkeayd.onion,0,04/07/2022 8:50,08/09/2025 19:55,08/09/2025 19:55,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejVsdHJoenY0NmxzZzQ0N28zY3gyNjM3ZGxvYzNxdDR1Z2QzZ3IyeGRra2tlYXlkLm9uaW9u
http://lockbit7z2mmiz3ryxafn5kapbvbbiywsxwovasfkgf5dqqp5kxlajad.onion,4,04/07/2022 8:50,10/09/2025 4:56,10/09/2025 4:56,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejJtbWl6M3J5eGFmbjVrYXBidmJiaXl3c3h3b3Zhc2ZrZ2Y1ZHFxcDVreGxhamFkLm9uaW9u
http://lockbit7z6f3gu6rjvrysn5gjbsqj3hk3bvsg64ns6pjldqr2xhvhsyd.onion,1,04/07/2022 8:50,30/08/2025 2:57,30/08/2025 2:57,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejZmM2d1NnJqdnJ5c241Z2pic3FqM2hrM2J2c2c2NG5zNnBqbGRxcjJ4aHZoc3lkLm9uaW9u
http://lockbit7z355oalq4hiy5p7de64l6rsqutwlvydqje56uvevcc57r6qd.onion,1,28/06/2022 23:38,20/08/2025 4:54,20/08/2025 4:54,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejM1NW9hbHE0aGl5NXA3ZGU2NGw2cnNxdXR3bHZ5ZHFqZTU2dXZldmNjNTdyNnFkLm9uaW9u
http://lockbit7z4bsm63m3dagp5xglyacr4z4bwytkvkkwtn6enmuo5fi5iyd.onion,1,04/07/2022 8:50,20/08/2025 4:54,20/08/2025 4:54,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejRic202M20zZGFncDV4Z2x5YWNyNHo0Ynd5dGt2a2t3dG42ZW5tdW81Zmk1aXlkLm9uaW9u
http://lockbitsupxcjntihbmat4rrh7ktowips2qzywh6zer5r3xafhviyhqd.onion,8,06/07/2022 1:33,29/07/2025 22:30,29/07/2025 22:30,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXB4Y2pudGloYm1hdDRycmg3a3Rvd2lwczJxenl3aDZ6ZXI1cjN4YWZodml5aHFkLm9uaW9u
